year,tier,company_name,job_title,internship_stipend_raw,base_salary_raw,total_ctc_raw,cgpa_cutoff_raw,fte_only,remarks,internship_stipend,base_salary,total_ctc,cgpa_cutoff,has_internship,has_base,has_ctc,has_cgpa_cutoff,ctc_to_base_ratio,timestamp
2024,Dream,APPLE,IS&T,,,90000,7.0,,Shortlisted 9.5+,,,0.9,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Dream,DE SHAW,SDET,,,150000,8.0,,Shortlisted 8.3+,,,1.5,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,JPMC,Software Engineer,,,75000,,,Code for Good Hackathon,,,0.75,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,INTUIT,Engineer,,,100000,8.0,,They shortlisted only 9 cgpa,,,1.0,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,COMMVAULT,Engineer,,,50000,8.0,,,,,0.5,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,URBAN COMPANY,Software Development Engineer - I,,,50000,,,They shortlisted only 8 cgpa,,,0.5,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,PURE STORAGE,Engineer,,,100000,7.0,,They shortlisted only 9 cgpa,,,1.0,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,RING CENTRAL,Associate Software Engineer,,,50000,7.5,,They asked 90% in boards,,,0.5,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,COUCHBASE,Dev,,,125000,,,8cgpa+Resume Shortlisting,,,1.25,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,DEUTSHCE BANK,Graduate Analyst,,,0,7.0,,They shortlisted only 8.5 cgpa,,,0.0,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,SWYM TECH PVT LTD,Associate Software Engineer,,,50000,,,,,,0.5,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,LAM RESEARCH,Software Engineer,,,0,7.0,,Shortlisted 8+ for Dev role,,,0.0,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,SANDVINE,Software Engineer/Test Engineer,,,60000,7.5,,,,,0.6,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,CYNLR,Design and Development Associate,,,30000,,,,,,0.3,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,HYPERFACE,SDE 1,,,30000,8.0,,,,,0.3,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,NEWFOLD DIGITAL,Operations Engineer,,,50000,7.0,,,,,0.5,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,TESCO,Graduate Software Developer Engineer,,,0,8.0,,,,,0.0,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,ARISTA NETWORKS,Software Engineer,,,65000,7.5,,They shortlisted only 8 cgpa,,,0.65,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,CISCO,Technical Consultant,,,,,,It was for women only as part of Boost 3.0 program,,,,,False,False,False,False,,2025-11-20 12:24:21.034360
2024,Tier 1,EGNYTE,Software Engineer I,,,50000,7.5,,They shortlisted 8+,,,0.5,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,CLOUDERA,Software Engineer I,,,45000,8.0,,,,,0.45,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,BAXTER,Engineer Trainee,,,30000,7.0,,They shortlisted 8+,,,0.3,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,SAHAJ,Solution Consultant,,,30000,,,,,,0.3,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,KICKDRUM,Software Developer,,,35000,8.0,,,,,0.35,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,EPSILON,Software Engineer-1,,,30000,7.0,,They shortlisted 8.5+,,,0.3,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,CISCO,Cloud Application Developer,,,98000,,,,,,0.98,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,NATWEST,Software Engineer,,,0,6.0,,Shortlisted 9+ cgpa for Male and 8 cgpa for Female,,,0.0,6.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,SCHNEIDER ELECTRIC,Graduate Engineer Trainee (GET),,,35000,6.5,,,,,0.35,6.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,HPE R&D | ARUBA|CTY,Software Developer|Software Automation and Quality Assurance,,,40000,7.0,,,,,0.4,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,AMADEUS,SDE-1,,,30000,7.5,,,,,0.3,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,DISH TECHNOLOGIES,Engineer,,,25000,7.5,,They shortlisted 8.75+,,,0.25,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,SPRINKLR,Devops Engineer,,,40000,6.0,,,,,0.4,6.0,False,False,True,True,,2025-11-20 12:24:21.034360
