,,,,,,,
,Summer Internship,,,,,,
,Name,Job Title,Stipend,Interns,PPT,Test Date,Interview
1,Morgan Stanley,Summer Intern,87k,9,21-10-20,21-10-20,22-10-20
,,,,9,05-03-21,06-03-21,22-03-21
2,Goldman Sachs,Software Engineer Intern,75k,5,03-11-20,30-10-20,03-11-20
3,Intuit,Summer Intern,60k,1,-,31-10-20,04-11-20
4,Samsung,Student Trainee R&D,50k,10,02-11-20,02-11-20,06-11-20
5,Walmart,Software Engineer - 2 Intern,80k,,17-11-20,17-11-20,18-11-20
6,SAP Labs,Intern,35k,6,06-11-20,06-11-20,09-11-20
7,Groww,Summer Intern,30k,5,08-11-20,08-11-20,10-11-20
8,Standard Chartered,Summer Intern,30k,-,-,"12-11-20
13-11-20",17-11-20
9,Akamai,Software Engineer Intern,35k,10,28-11-20,28-11-20,"01-12-20
02-12-20"
10,Visa,Software Engineering Intern,60k,8,-,05-12-20,10-12-20
11,Dell Technologies,Summer Intern,25k,2,-,-,05-02-20
12,Autodesk,Summer Intern,30k,,-,-,-
13,Target,Summer Intern Data Scientist,30k,,-,-,12-05-21
14,Zscaler,Intern,30k,5,20-04-21,20-04-21,21-04-21
15,Soroco,Summer Intern,50k,,04-05-21,05-05-21,07-05-21
16,Epsilon,Intern,30k,,24-05-21,24-05-21,25-05-21
17,Cisco,Software Engineer Intern,65k,,,,
18,JP Morgan,Software Engineering Intern,,,,,
19,Pronisi,Intern,,7,,,
