,TIER 1,,,,,,,,,,,,
#,Company Name,Job Title,Compensation,,,# Jobs Offered,,,Placement Dates,,,"CGPA 
Cut-off",Additional Comments
,,,Internship,Base,CTC,FTE Only,FTE + Intern,Intern only,PPT,Test Date,Interview,,
1,Morgan Stanley (PPO),Technology Analyst,,13,29.48,8,,-,-,-,-,-,
2,Natwest Group (PPO),Software Development Engineer,-,13,15,2,-,-,-,-,-,-,
3,Akamai (PPO),Software Engineer ,35k,14,18,-,15,-,-,-,-,-,
,Akamai (2nd Time),,,,,,5,,,,,,
4,Adobe (PPO),Member of Technical Staff,1L,13.5,41.2,-,1,,-,-,-,-,Offered to one student via off-campus opportunity
5,Groww (PPO),Software Development Engineer 1,60k,15,20,1,4,-,-,-,-,-,
6,Bosch (PPO),Niche,35k,,16,-,10,-,-,-,-,-,
7,Gigsky (PPO),,45k,15,31.5,-,4,-,-,-,-,-,
,Sorocco (PPO),,50k,12,15,-,6,-,-,-,-,-,
8,Epsilon (PPO),SDE,30k,10,13,-,2,-,,,,-,
9,Goldman Sachs (PPO),,,,,,,,-,-,-,-,
10,JP Morgan Chase (Code for Good),Software Engineer,70k,13,17.75,-,20,-,-,-,-,-,"CFG is JPMC's only hiring event, no placements."
11,Palo Alto,Development Engineer,1L,17,54.75,-,7,-,28-07-2022,28-07-2022,01-08-2022,7.5,
,,QA Engineer,,,,,,,,,,,
,,DevOps Engineer,,,,,,,,,,,
12,Intuit,Software Engineer,80k,17.5,39.25,-,1,2,31-07-2022,31-07-2022,02-08-2022,7,
13,Morgan Stanley,Technology Analyst,87k,13,29.48,-,4,-,28-07-2022,28-07-2022,04-08-2022,8.5,
14,Gameskraft,Game Development,75k,18,37,-,5,-,29-07-2022,29-07-2022,03-08-2022,,
15,Trilogy Innovations,Software Development Engineer 1,1.5L,30,36.5,0,0,0,,30-07-2022,05-08-2022,,
16,Couchbase,Software Development Engineer,1.25L,20,27.05,-,4,-,04-08-2022,-,07-08-2022,6.5,
