#,Company Name,Job Title,Compensation,,,Placed,,"CGPA 
Cut-off",Remarks,,
,,,Internship,Base,CTC,FTE,Intern,,,,
1,CONFLUENT,Data Infra,100000,15,18.5,,1,NA,Performance Based FTE,PLACED,288
,,Business Intelligence,,,,,1,,Performance Based FTE,,
,,Project Management,,,,,2,,Performance Based FTE,,
2,MAKEMYTRIP,Software Engineer,50000,13,23,,6,7,"Performance Based FTE,Shortlisted 7.95+",,
3,NVIDIA,System Software Intern | Hardware Engineering Intern,75000,,27.99,,2,8,Performance Based FTE+(Came again for women for S/W role and NEXT Program for H/W role),,
4,SIEMENS EDA,Member Of Technical Staff,40000,14,20.24,,0,8,Performance Based FTE,,
,,Apprenticeship,25000,,,,,6.5,1 year Internship,,
5,SAP LABS,Associate Developer|DevOps|Support|QA,35000,10,24.62,,4,7,"Performance Based FTE,They shortlisted 8+",,
6,SAMSUNG SEMICONDUCTORS,Software Engineer,50000,,,,2,7,Performance Based FTE,,
,,Hardware Engineer,50000,,,,5,,Performance Based FTE,,
7,ZYNGA,Software Engineer,80000,,,,2,NA,"Only Internship,Shortlisted 7.5+",,
,,Production Intern,50000,,,,,NA,Only Internship,,
8,INTEL,Intern,40000,,,,3,NA,"Offered as Tie-Up with CIE,Resume Based Shortlisting",,
9,JUNIPER NETWORKS,Software Engineer Intern,40000,,16.5,,10,7.5,Performance Based FTE,,
10,SAMSUNG ELECTRONICS,Software R&D Intern,50000,,,,6,7,Only Internship+Shortlisted 8.5+,,
11,INTEL,Software Engineer Intern,40000,,,,3,8.5,Performance Based FTE+Resume Based Shortlisting,,
,,Artificial Intelligence Intern,40000,,,,2,8.5,Performance Based FTE+Resume Based Shortlisting,,
12,AT&T,Technical Intern,45356,,12-16,,13,7.5,Performance Based FTE,,
13,ENDOR LABS,Intern,100000,,,,2,8,"Performance Based FTE,Shortlisted by taking avg of 10th,12th and CGPA,8.85+ cutoff ",,
14,GARRETT MOTION,Engg IT,30000,,,,2,8,Performance Based FTE,,
