#,Company Name,Job Title,Compensation,,,Placed,,"CGPA 
Cut-off",Remarks,,,,
,,,Internship,Base,CTC,FTE,Intern,,,,,,
1,JPMC,Software Engineer,75000,13,19.75,9,,NA,Code for Good Hackathon,,Internship Average,44732.14,
2,INTUIT,Engineer,100000,20.5,44,1,,8,They shortlisted only 9 cgpa,,Internship Median,37500,
3,COMMVAULT,Engineer,50000,16,33,5,1,8,,,Base Average,13.9,
4,URBAN COMPANY,Software Development Engineer - I,50000,16,30,0,,NA,They shortlisted only 8 cgpa,,Base Median,14,
5,PURE STORAGE,Engineer,100000,16,27.16,3,,7,They shortlisted only 9 cgpa,,,,
6,RING CENTRAL,Associate Software Engineer,50000,20.5,24.15,2,,7.5,They asked 90% in boards,,CTC Average,611.78,
7,COUCHBASE,Dev,125000,20,27.04,4,,NA,8cgpa+Resume Shortlisting,,CTC Median,17.94,
,,QE,125000,20,27.04,2,,,,,,,
,,Tech Support,125000,20,27.04,3,,,,,,,
8,DEUTSHCE BANK,Graduate Analyst,0,15,19.63,7,,7,They shortlisted only 8.5 cgpa,,,,
9,SWYM TECH PVT LTD,Associate Software Engineer,50000,15,20,2,,NA,,,Placed(T1),387,* might not be accurate since PES does not release official count
,,Customer Experience Engineer,35000,10,14,1,,,,,,,
10,LAM RESEARCH,Software Engineer,0,,19,1,,7,Shortlisted 8+ for Dev role,,,,
,,Site Reliability Engineer,0,8.2,13.26,1,,6.5,,,,,
11,SANDVINE,Software Engineer/Test Engineer,60000,12.5,16.37,6,,7.5,,,Total Placed T1(Including PPO'S),716,
12,CYNLR,Design and Development Associate,30000,15,15,1,,NA,,,,,
13,HYPERFACE,SDE 1,30000,14,20,3,,8,,,,,
14,NEWFOLD DIGITAL,Operations Engineer,50000,12,15,3,,7,,,Total Placed T1+T2+T3+PPO'S,863,
15,TESCO,Graduate Software Developer Engineer,0,16.5,21,8,,8,,,,,
16,ARISTA NETWORKS,Software Engineer,65000,15,18.5,7,,7.5,They shortlisted only 8 cgpa,,,,
17,CISCO,Technical Consultant,,12.47,17.97,2,,NA,It was for women only as part of Boost 3.0 program,,,,
18,EGNYTE,Software Engineer I,50000,13,14,8,,7.5,They shortlisted 8+,,,,
19,CLOUDERA,Software Engineer I,45000,17,19,3,,8,,,,,
20,BAXTER,Engineer Trainee,30000,9.91,12,15,,7,They shortlisted 8+,,,,
21,SAHAJ,Solution Consultant,30000,12,13.04,2,,NA,,,,,
22,KICKDRUM,Software Developer,35000,10,16,2,,8,,,,,
23,EPSILON,Software Engineer-1,30000,10,12,15,,7,They shortlisted 8.5+,,,,
24,CISCO,Cloud Application Developer,98000,16.44,24.73,4,,NA,,,,,
25,NATWEST,Software Engineer,0,13,13,11,,6,Shortlisted 9+ cgpa for Male and 8 cgpa for Female,,,,
26,SCHNEIDER ELECTRIC,Graduate Engineer Trainee (GET),35000,9,12,19,2,6.5,,,,,
27,HPE R&D | ARUBA|CTY,Software Developer|Software Automation and Quality Assurance,40000,12,17.5,33,,7,,,,,
28,AMADEUS,SDE-1,30000,10,12.62,3,,7.5,,,,,
29,DISH TECHNOLOGIES,Engineer,25000,12,14.11,4,,7.5,They shortlisted 8.75+,,,,
30,SPRINKLR,Devops Engineer,40000,12,12,3,,6,,,,,
31,BAIN CAPABILITY NETWORK,Analyst,45000,9.9,14,3,,NA,Resume Shortlisting,,,,
32,SOCIETE GENERALE,Software Engineer,,,12.21,5,,6,,,,,
33,IBM ISL SECURITY,Software Developer ,30000,17,18.5,14,,7,,,,,
,,Data & AI,30000,17,"18,5",3,,7,Performance Based FTE,,,,
,,Partner Technical Specialist Sales,,17,18.5,8,,8,,,,,
34,THOROGOOD,Data & Analytics Consultant,35000,,14.15,1,,NA,They shortlisted 8.4+,,,,
35,MORGAN STANLEY,Technology Analyst,87000,,29.48,4,4,8,They shortlisted above 8.5 cgpa,,,,
36,BRITISH TELECOM,GET Intern,60000,13,17,7,,NA,They shortlisted 8.6+,,,,
37,SAP LABS,Associate Developer|DevOps|Support|QA,35000,10,24.62,5,,7,They shortlisted 8+,,,,
38,DOVER,GET Intern,25000,,12,2,,,They shortlisted 8.6+,,,,
39,INFIBEAM,Software Development Engineer,20000,10,12,1,1,8,Shortlisted 8.5+,,,,
40,AURVA.IO,Software Engineer-1,30000,14,16,,,8,Prefer Open Source Contributors,,,,
41,MICROCHIP TECH,"App (1,2,3,4,5),SDE(0,1),SE(Test,Quality),Firmware Testing,SW/FW Design",30000,10,14,4,,NA,,,,,
42,BLUE YONDER,Associate Software Engineer,50000,12,12.6,32,,7,,,,,
43,MICROCHIP TECH,"Software 1,2,3 ,Baan QA,Dynamics AX Analyst,Web Dev,ServiceNow Dev",30000,8,12,3,,NA,,,,,
44,IDFC FIRST BANK,Application Engineer,40000,14,18.1,28,,6,,,,,
,,Associate Project Manager,40000,14,18.1,1,,,,,,,
,,Associate Process Strategy,40000,14,18.1,1,,,,,,,
45,NETRADYNE,"Cloud-SDET,Embedded QA Engineer-SDET,QA IOT,Data Analyst,Bizz Systems",,,14,10,,7.5,Shortlisted 8.4+,,,,
46,RELTIO,Associate Software Engineer,,,15,2,,8,,,,,
47,AKAMAI,Software Engineer,,12.67,17.94,4,,NA,,,,,
48,OBSERVE.AI,Software Engineer,75000,30,33,2,,8,,,,,
49,JAR APP,SDE Intern - Backend,40000,12,15,6,,7.5,,,,,
,,,25000,10,12,11,,7,,,,,
50,NETCORE CLOUD,Associate Software Engineer,20000,8,12,6,,NA,,,,,
51,COHESITY,Member of Technical Staff(R&D),,15,32.42,2,,8,,,,,
52,PALO ALTO,Software Engineer -IT,,14,40,,,NA,Resume Based Shortlisting,,,,
53,RTBRICK,Software Developer,30000,,12.5,3,,8,"90% in 10th,85% in 12th",,,,
54,KANGASYS,Junior Software Developer,30000,,12,1,,7,Resume Based Shortlisting,,,,
