#,Company Name,Job Title,Compensation,,,Jobs Offered,"CGPA 
Cut-off",Remarks,,,
,,,Internship,Base,CTC,Selected,,,,,
1,DELOITTE USI,Analyst,,6,7.6,32,6.5,,,,
2,DELOITTE INDIA,ET&P F&P,,6,7.6,4,6.5,,,,
,,CSAD,,,,9,6.5,,,,
,,DCM_AMC,,,,6,6.5,,,,
3,APPLIED MATERIALS,IT Solutions Management,,8.75,10.44,2,7,,,,
4,EY,Associate Consultant,,7.5,8.59,19,6.5,Shortlisted (8.1-8.3)+,,PLACED,352
5,TRUMINDS,SDE-1,20000,6,11,2,8,,,,
6,ARUP INDIA PVT LTD,SOFTWARE DEVELOPER,30000,7.8,8.6,4,7,Shortlisted 8+,,Internship Average,24947.37
7,PWC INDIA,ASSOCIATE TECHNOLOGY CONSULTANT,,7,9,57,6,,,Internship Median,25000
,,ASSOCIATE RISK CONSULTANT,,7,9,28,6,,,,
8,ELI LILLY SERVICES PVT LTD,ANALYST,,,11,7,NA,Shortlisted above 8 GPA and 90% in 10th and 12th,,,
9,BROADRIDGE,MEMBER TECHNICAL,30000,10,10,4,7,"Male - 9 GPA,Female - 8.5 GPA",,Base Average,6.75
10,GOLDMAN SACHS,ANALYST,35000,8.75,10.5,9,6,Performance Based FTE,,Base Median,6.8
11,SUBEX,SOFTWARE ENGINEER,25000,,6,4,7.5,Performance Based FTE,,,
12,KPMG,Analyst GRCS - Digital Trust,20000,5,7,4,6,Performance Based FTE,,CTC Average,2531.98
,,Analyst GRCS - Tech,20000,6,7,3,6,,,CTC Median,8
,,Analyst GRCS - Telecom,20000,6,7,2,6,,,,
,,Analyst -Deal Advisory & Strategy,,5,7,,6,,,,
,,Digital Enablement-Microsoft,20000,5,7,,6,,,,
,,Tax Technology ,,5,7,,6,,,,
,,Cyber Security,,5,7,,6,,,,
,,Data Science,,5,7,,6,,,,
,,Data and Business Intelligence,,5,7,,6,,,,
13,COLLINS AEROSPACE,Graduate Engineer Trainee,15000,,8,2,7,Resume Based Shortlisting +  Only Female + GPA,,,
14,PRATT & WHITNEY,Graduate Engineer Trainee,15000,,8,1,7,Resume Based Shortlisting +  Only Female + GPA,,,
15,HIVER,Software Development Engineer 1,25000,10,11,3,8,,,,
16,TEJAS NETWORKS,Engineer R&D(Java),30000,,10,5,7.5,Shortlisted 8+,,,
17,PERFIOS,Software Development Engineer ,15500,9,10,4,8,,,,
18,HPE,Global Operations Role,30000,,8,16,7,Performance Based FTE,,,
19,IDFY,Labs-Bangalore,25000,,10,3,6,Performance Based FTE,,,
,,Crimecheck-Mumbai,25000,,10,2,6,Performance Based FTE,,,
20,ASTRAZENCA,Junior Engineer,18000,,7.65,6,7,,,,
21,ZEBRA TECH CORP,Intern,30000,,10.8,22,8,Performance Based FTE,,,
22,CRK GIDA TECH,Software Engineer,,,7.5,,6,,,,
23,NEXTUPLE,Associate Software Engineer,20000,7.8,8,3,,Performance Based FTE,,,
,,Associate QA Engineer,20000,6.8,7,,,Performance Based FTE,,,
24,MERCEDES BENZ R&D,Graduate Engineer Trainee,30000,,10,7,7.5,Only for Females,,,
25,HAVELLS,Software Engineer,25000,,8,,6.5,,,,
,,IoT & Connectivity,25000,,8,,6.5,,,,
26,BERKADIA,Associate Software Engineer,,,9.65,1,8,,,,
27,CONDE NAST,Technical Project Management,,,6.6,2,6,,,,
28,CYWARE LABS,Software Engineer Intern,40000,9,11,,8,Performance Based FTE,,,
29,AURIGO,SDET,25000,,8,9,7,,,,
30,CELSTREAM,Developer/Software Engineer,30000,4.8,8,5,7,,,,
31,SHADOWFAX,SDE-1,15000,8,10,7,6,Shortlisted 8+ CGPA,,,
32,INNOVER,Associate Developer,,5,6,,,,,,
33,JLL TECH,Software Engineer,35000,,8,,7.5,,,,
34,CONSILIO LLC,Associate Software Engineer,,,7.5,3,8,,,,
35,ORACLE,Associate Consultant / Cloud Analyst,,,9.34,30,7,,,,
,,Associate Software Engineer,,10,10.54,6,7,,,,
36,PH Data,Associate Data Engineer,,,7,10,7,,,,
37,APTIV,Associate Embedded Software Engineer,25000,,8.5,,,Women Only Drive,,,
38,DELTAX,Associate Product Engineer,,,7,0,5,4 Months Training Bootcamp Included,,,
39,NEWSTREET TECH,Engineering Intern,21500,,7,,8,,,,
40,CONGA,Associate Software Engineer,12000,,8,3,6,,,,
41,CREDITNIRVANA,Product Engineer,,,6,,7,,,,
42,ATKINS REALIS,Graduate Engineer,,,6.22,,7,,,,
43,DELL,Technical Content Developer 1,,7.92,8.69,,7,,,,
,,Business Operations Analyst,,,8.45,,6,,,,
44,ONMOBILE,,35000,4.5,10,1,7,,,,
45,ACCOLITE,Software Engineer,,5,8,1,6,,,,
46,HELLO24 DIGICOM,Software Engineer,20000,3,7,,NA,,,,
47,BIZOM,Associate Product Manager,30000,,10,,NA,,,,
48,HEALTH ASYST,Trainee Developer,,,7,,7,,,,
49,BIRLA PIVOT,Software Engineer,,8,11,,NA,Top 20% Students+80% in Boards,,,
50,INFOSYS,Specialist Programmer,,,9.5,,6,,,,
51,PARABLU,Junior Software Developer,,3.25,6.73,,7.5,,,,
52,TESTSIGMA,,25000,,9.5,2,8,,,,
53,FALABELLA,Intern,35000,9,9.45,,NA,,,,
54,PALLE TECH,Software Developer,,,3-8,,NA,,,,
55,GKN AEROSPACE,Graduate Trainee,,,9.5,,NA,Female Only Drive,,,
56,TURING,Delivery Data Analyst,,,7.5,,NA,,,,
57,TCS,Ninja,,,3.3,,6,,,,
,,Digital,,,7,,6,,,,
,,Prime,,,9,,6,,,,
58,SVASTHIYA TECH,SWE/SALES,,6,10,,7.5,,,,
59,TRANSITION VC,RESEARCH ANALYST,,,6-8,,NA,,,,
60,USHUR TECH,,,,6-8,,7.5,,,,
61,COURSE5,JUNIOR AI SCIENTIST,,,8,,7,,,,
62,EPAM,ENGINEER,,,8,,6,,,,
63,HFCL,Graduate Engineer Trainee,,9,10,,7,"12 LPA in Second Year,15 LPA in Third Year",,,
64,ADECCO,Junior Automation Analyst/Engineer,,,6-7,,6,,,,
65,FLIPKART,Application Engineer,,,10,,,Female Only Drive,,,
66,RIBBON COMMUNICATION,Intern,,,8,2,7.5,,,,
67,THOUGHTWORKS,Graduate Application Developer,,,11,,NA,,,,
68,OPENMYNZ SOTLABS,Software Engineer,,,7,,7.5,,,,
69,CUBE,B2B Account Manager,,,6-10,,NA,NA,,,
70,THINK41,Full Stack Engineer,31000,,8,,NA,,,,
71,EXIGER,Verification Engineer,,,10,,NA,2 Years Bond,,,
72,GNANI.AI,AIML ENGINEER/NLP ENGINEER/FROTNEND DEV/BACKEND DEV,,,11+,,6.5,,,,
73,JEBPO,Trainee Business Analyst ,,,8-8.5,,8-8.5,,,,
74,BLACKBUCK,Associate SDE,,7.5,8,,NA,,,,
75,MAVENIR,Graduate Engineer Trainee,,8,8.75,,7,,,,
