#,Company Name,Job Role,Internship,Compensation (LPA),,Placed,,,Final CGPA Cut-off,Date of Visit
,,,,Base,CTC,FTE Only,FTE + Intern,Intern (PBC),,
1,PhonePe,Software Engineer,80000,19.5,32.5,,3,,6,Jul 2024
2,Couchbase,Dev,125000,20,27.15,,7,,8,Jul 2024
,,QE,,,,,2,,,
,,Support,,,,,3,,,
3,Cisco,Software Engineer,98000,,24.73,,1,,,Jul 2024
4,Zomato,Software Development Engineer - 1,60000,24,56,,3,,~9,Jul 2024
5,StockX,Associate Software Engineer,60000,20,22.6,,4,,9.5,Jul 2024
6,Vyapar App,Software Engineer - 1,50000,15,30,,4,,9,Jul 2024
,,,40000,12,20,,4,,8.5,Sept 2024
7,Okta,Software Engineer,100000,13.75,27.95,,8,,8,Jul 2024
8,Lam Research,Software Engineer - 1,,10.9,14.49,,1,,6.5,Aug 2024
9,IDFC First Bank,Application Engineer,40000,14,18.1,,3,,6,Aug 2024
10,Arista Networks,Software Engineer,65000,15.9,29.5,,6,,7.5,Aug 2024
11,CBX1,Software Engineer,50000,17,21,,2,3,9,Aug 2024
12,IBM,Software Developer (Systems),30000,17,18.75,,43,,7,Aug 2024
,,Software Developer (Software Labs),,,,,66,2,,Aug 2024
,,Software Developer (Cloud),,,,,30,,,Sept 2024
13,Societe Generale,Software Engineer,32500,10,12.21,,12,,7,Aug 2024
,,Cybersecurity Engineer,,,,,3,,,
,,,,,,,,,,Jul 2025
14,JPMorgan Chase & Co.,Software Engineer,75000,13.5,19.5,,6,,8.5,Aug 2024
15,Cloudera,Software Engineer - 1,45000,17,23,,6,,9,Aug 2024
16,Schneider Electric,Graduate Engineer Trainee,35000,9,12,,6,,7,Aug 2024
17,Singularity Dynamics,Software Development Engineer,30000,13,22,,2,,8.5,Aug 2024
18,Walmart,Software Development Engineer - 2,100000,16.88,22.6,6,,,9,Aug 2024
19,Typeface,Software Engineer,50000,16,20,,0,,8.5,Aug 2024
20,Egnyte,Software Engineer,50000,13,14,,4,,7.5,Aug 2024
21,Infibeam,Software Development Engineer,20000,10,12,,2,,8.7,Aug 2024
22,Netradyne,Software Development Engineer in Test,35000,10,14,,12,,7.5,Aug 2024
23,D. E. Shaw,Software Development Engineer in Test,150000,18,52.3,,1,,7,Aug 2024
24,Meesho,Software Development Engineer,45000,20,34,,4,,7,Aug 2024
,,Business Analyst,35000,13,21,,0,,,
,,Data Scientist - 1,,22,50,1,,,,May 2025
25,Commvault,Software Development Engineer,50000,16,33,,0,,8.5,Aug 2024
26,SAP Labs,Dev,35000,10,25,,10,,7,Aug 2024
,,DevOps,,,,,,,,
,,Support,,,,,,,,
,,QA,,,,,,,,
,,Associate Consultant (BTP),,,,,,,,Apr 2025
27,Sixt,Software Development Engineer - 1,40000,13,17.5,,4,,8.65,Aug 2024
28,Signify Innovation Lab,Assistant Development Engineer,32000,11,14,,2,,9,Aug 2024
29,Cynlr,Software Developer,30000,14,18,,0,,7.75,Aug 2024
30,InMobi,Software Development Engineer - 1,45000,22,35,,8,,7,Aug 2024
31,Baxter Healthcare,Software Engineer - 1 (Digital),30000,9.9,12,,7,,8,Aug 2024
,,Software Engineer - 1 (Embedded),,,,,3,,,
32,GE Healthcare,Edison Engineering Developer,40000,13,16.2,,,,7,Aug 2024
33,HPE,Software Engineer (R&D),40000,12,17.5,,5,5,7,Sept 2024
,,Software Engineer (Operations),,,,,7,,,Sept 2024
,,Software Engineer (CTY),,,,,12,,,
34,Amadeus,Software Development Engineer - 1,30000,10,12.6,,3,,7.5,Sept 2024
35,IG Group,,,12,13.63,2,,,8.5,Sept 2024
36,Epsilon,Software Engineer,30000,10,12,,11,,7,Sept 2024
37,Urban Company,Software Development Engineer - 1,50000,16,22,,2,,8,Sept 2024
38,Superjoin,Engineering Explorer,30000,13,19,,1,,7,Sept 2024
39,Oracle,Associate Application Developer,,14.5,31.2,6,,,7,Sept 2024
40,DISH Networks,Engineer,25000,12,14.1,,4,,8.5,Sept 2024
41,Samsung Semiconductors,Software Engineer (Embedded),50000,19,25.85,,,0,7,Sept 2024
42,NXP Semiconductors,Software Engineer,42500,15.5,23,,0,,7.5,Sept 2024
43,Komprise,Software Engineer,50000,17.41,22,,2,,8,Sept 2024
,,Software Test Engineer,,15.54,20,,1,,,
44,Renesas,Analog Engineer,45000,15,23.1,,1,4,8,Sept 2024
,,Validation Engineer,,,,,,,,
,,Digital Design Engineer,,,,,,,,
,,Test Engineer,,,,,,,,
45,Aveva,Software Developer Graduate,,,15.8,4,,,8.6,Sept 2024
,,Software Graduate,,,,,,,7,Jun 2025
,,IT Graduate,,,,,,,,
46,iNube,Software Analyst,30000,,12,,3,,8.5,Sept 2024
