#,Company Name,Job Role,Internship,Compensation (LPA),,Placed,,,Final CGPA Cut-off
,,,,Base,CTC,FTE Only,FTE + Intern,Intern (PBC),
1,Infosys,Specialist Programmer,,,9.5,8,,,
2,Bluebird,Software Engineer,25000,6,10,,,,7
3,Bain,Analyst,40000,9.9,11,,,8,6
4,Deloitte,Analyst - Analytics & Technology,,6,7.5,10,,,6
,,US India Analyst,,,,27,,,
5,Deloitte India,ET&P Oracle - Analyst,25000,6,7.5,,6,,
,,ET&P SAP - Analyst,,,,,6,,
,,ET&P - Finance Transformation Analyst,,,,,5,,
,,PDICMS ,,,,,5,,
,,EAD – ADMM,,,,,9,,
6,Eurofins,Associate Software Engineer,,,10.75,,9,,
7,Tejas Networks,NMS,30000,8.97,10,,0,,
,,Hardware,30000,8.97,10,,2,,
,,Software ,30000,,10,,3,,7.5
8,Toshiba Software,Associate Software Engineer,45000,10,11.5,,7,,7
9,KPMG,Digital Solns. - Digital Next,,,,,2,,
,,TT - DEQ,,,,,3,,
,,GRCS Telecom,20000,6,7,,4,,6
,,Digital Trust,20000,5,7,,11,,6
,,Analyst (Tax Technology),,5,7,,,,6
10,Dover,Software Engineer,25000,,11,,2,,8
11,Telstra,,,9.43,10,,10,,
12,Crestron,,30000,,8,,,,8
13,Broadridge,,30000,,10,,5,,7
14,Conga,,12000,,10.44,,,,
15,IDfy,,25000,,10,,1,,6
16,Jones Lang Lasalle Technologies,,35000,,9,,9,,8
17,Aptiv,,25000,,8.5,,,,7
18,Consilio,Associate,,5,8,15,,,
19,AstraZeneca,,25000,,8.43,,5,,
20,Nouveau Labs,Software Engineer,25000,,6-9,,,,
21,Bounteous x Accolite,,20000,,8,,,,6
22,Havells India Limited ,IoT and Software Roles,25000,8,11.5,,2,,6.5
,,Power Electronics and Solar Roles,25000,7,9.5,,1,,6.5
23,HP,GIT Role,30000,,8,,3,,
,,Managed Services,20000,,7.48,,7,,7
24,EY India,,,7.5,8.59,18,,,6.5
