The companies that haven't declared their CTC's can't be classified into any tiers and they are listed separately as intership only companies,,,,,,,,,
Company,Role,Internship,Compensation (LPA),,OA Date,Shortlisted Interview,Presentation,Placed,Note
,,,Base,CTC,,,,,
Infineon,,40000,,,15/09/25,20/09/25,,9,
VectraAI,Software Engineering Intern,20000,,,No OA,24/09/25,,3,
MediBuddy,Student Intern,45000,PBC,PBC,,,,,
Textron,,25000,,,,,,,
Nokia,,30000,,,,,,16,Internship period from 6 - 10 months
Goldman Sachs,Seasonal Analyst,70000,,,,,,6,
Nasdaq,,50000,,,,,,,
Myntra,,70000,,,,,,,"(Applied through Unstop and not from PES , so not sure if its on campus , or a collaboration between PES and Myntra)"
Accenture,KAI Internship,40000,,,13-14/11/25,,,,
Lending Labs,Software Engineer Intern,50000,PBC,PBC,,,,,PBC with a package of 10-12 at companies discretion 
Ather,Data Science Intern,30000,,,,,,1,
,System Engineering Intern,,,,,,,1,
Zebra Technologies,Software Intern,33600,,,31/10/25,03/11/25,31/10/25,28,
Toshiba Tec Corporation,Cloud Backend Intern,,PBC,PBC,30/10/25,31/10/25,30/10/25,,
Zeta,,60000,,,04/11/25,,04/11/25,,
Cimpress,,35000,12,12.6,,,,3,"Has only conditional PPO, so not classified as any tier"
Bajaj Finserv,,35000,,,,,,,
Flam,,35000,,,,,,,
Big Basket,,,,,,,,,
Garrett Motion Inc.,,,,,,,,,
Aptos,,30000,,,,,,,
Rakuten,,30000,,,,,,,
Inkle,FrontEnd Intern,35000,,,,,,,
,BackEnd Intern,,,,,,,,
,AI Intern,,,,,,,,
Quicken,,50000,,,12/11/25,,,,
Zynga Game Network,,80000,,,,,,,
Vidal Health,Technology Intern,44000,,12,,,,,PPO based on only performance
Maximus GCC Technology & Business System,Intern,30000,,7.5,,,,,
HSBC EDPI,Ananlyst Intern,30000,,,,,,,
,,,,,,,,,
,,,,,,,,,
Total Visited,27,,,,,,Total Placed(In),67,
,,,,,,,,,
Highest Stipend,80000,,,,,,,,
 Average Stipend,41566.66667,,,,,,,,
Median Stipend,35000,,,,,,,,
