Color Coding (Legend),Came for 2nd time hiring,Online,In Person,Hired 10 or more Students,,Didn't proceed with hiring process,,,Mass Hired (> 25),,Took interviews but did not hire anyone,
Note : Placements are still ongoing. The process started on 01 Aug 2025 - last updated on 12-Nov-2025,,,,,,,,,,,,
Company,Role,Internship,Compensation (LPA),,OA Date,Shortlisted Interview,Presentation,Placed,,,GPA Cutoff,Note
,,,Base,CTC,,,,Internship,FTE,Both,,
Meesho,Data Scientist,150000,24,60,04/08/25,04/08/25,03/08/25,,,1,6.5,All the extra money in CTC is majorly retention bonus over a period of 4-5 years
,SDE,130000,22,57,,,,,,3,,
,Business Analyst,70000,14,23.5,18/08/25,,,,,6,,
Eternal(Zomato),SDE I,100000,24,56,06/08/25,06/08/25,06/08/25,,,2,8(+ Resume),Same for this also
Flipkart,SDE,100000,18,32.58,05/08/25,07/08/25,,,,4,,
Make My Trip,SWE,50000,12,22,03/08/25,08/08/25,,,,5,,
ION Group,SDE,-,15,17.3,,,24/07/25,,,,,"263 hired last yr in total by the company, not only PESU"
,Data Scientist,-,,,,,,,,,,Yet to even come to campus
,Tech Analyst,-,,,,,,,,,,
Schnieder,"Mutliple roles, same CTC",35000,9,12,01/08/25,12/08/25,,,,11,8,
Vyapar Apps,SDE,40000,14,24,08/08/25,13/08/25,,,,8,8.5,
,Data Scientist,,,,,,,,,3,,
Couchbase,"Dev->Server,Devx,SRE     
Support & QE",125000,22,32.48,No OA,08/08/25,,17,,,Resume Based,Shortlisted(102 students) 8.5 + CGPA with Excellent projects / open source contributions. Has performance based conversion.
NetCore,AIML/Platform Engineer,30000,14.4,29.5,09/08/25,09/08/25,,,,5,8,
,SDE,30000,12.6,23.375,,,,,,3,,
,Business Analyst,30000,9,17.25,,,,,,2,,
Komprise,Software Engineer,50000,17.41,22,09/08/25,11/08/25,,,,0,,
,Software Test Engineer,50000,15.54,20,,,,,,1,,
Titan Email,Intern,100000,18,22,12/08/25,,,,,0,,Internship only. Conversion based on performance
Arctic Wolf, Developer,60000,21,22.05,No OA,23/08/2025,,,,4,,"-> CyberSec based role - PBC FTE
-> Interviews were at their office
-> shortlisted 14 people based on 
leetcode ques, resume, github and cf"
Greenlight,SDE,50000,20,25,11/08/25,11/08/25,,,,2,9.1,
CBXI,SDE,,21,40,09/08/25,10/08/25,,2,,1,9,
Cvent,SDE,40000,,15.03,,,,,,1,8.5,
StockX,,60000,20,22.6,22/08/25,,,,,4,9.01,Didnt shortlist everyone above 9 (took ppl who had previous internship experience)
Dover,Associate SE,25000,,14,18/08/25,21/08/25,,,,4,8,
IDFC Bank,Application Engineer,40000,14,18,21/08/25,28/08/25,18/08/25,,,4,,16 CTC + 15% variable
Bain,Analyst Intern,45000,9.9,15.684,19/08/25,20/08/25,,12,,,,"Coming only for Internship, conversion based on performance"
HSBC,Trainee S/W,,,16,26/08/25,03/09/25,26/08/25,,20,,,Came for Summer Internship for 5th Sem as well. Only FTE for 4th years
Lam Research,Electrical Engineer,52000,,21.4,19/08/25,25/08/25,19/08/25,,,1,,
,SDE & QA,,,22.17,,,,,,2,,Req. was embedded design coding for CS
,Mech,,,15.81,,,,,,2,,
Tekion,,65000,20,22,23/08/25,23/08/25,23/08/25,,,10,8.75,Additional ESOPs (2000 units at 9.3$ per unit)
American Express,Software Engineer,125000,14.28,20,23/08/25,26/08/25,22/08/25,,,6,,
AMD,COOP,40000,12.38,19.09,25/08/25,02/09/25,,,,3,9,Includes 15000$ RSUs vested 4 years (Hired 2CS + 1ECE)
Apple,IS&T Dev,105000,,,03/09/25,22/09/25 - 24/09/25,,16,,,7,OA (Coderpad)
,Wireless Tech (WTE),75000,,,,,,3,,,Most of them who were shortlisted had 8.75+ with some exceptions,Resume Based Shortlisting
,BPR OPS SDE,75000,,,,13/10/25 - 15/10/25,,3,,,,
,BPR OPS ML,75000,,,,13/10/25 - 15/10/25,,3,,,,
,Applied Research - Apple Care,75000,,,,,,2,,,,
GoTo,Associate Software Engineer,50000,14,18,10/09/25,10/09/25,,3,,3,8.5,
Sixt,Site Reliability Engineer,50000,,20.7,01/09/25,01/09/25,,,,1,8.5,SRE Eligible only for AIML Students
,Software Dev Eng,,13,21.3,,,,,,3,9,SDE Eligible only for CSE Students
Cynlr,2 skills met,30000,8,Base + PF + ESOPs,27/08/25,30/09/25,25/08/25,,,,,"Hiring for CSE,ECE,EEE"
,4 skills met,,16,,,,,,,,,"The interviews for this happened at MSRIT, no info abt final select"
,4+ skills met,,25,,,,,,,,,
GE Health Care,Edison Engineering Development Program - CS,40000,13,16.2,06/09/25,11/09/25,05/09/25,,,,,Hiring included M.Tech students as well
,Edison Engineering Development Program - Non CS,,,9.5,,,,,,,,
CommVault,Software Dev Eng,50000,16,33,01/09/25,,28/08/25,,,0,8.56,"Coming only for Internship, but also has performance based FTE conversion"
Arista Networks,SDE,65000,15,30.33,,,,,,,,Have come for both FTE & Summer Internship.      + Includes RSUs Worth 12000$
SAP,Technology Hiring,,10.5,26,02/09/25,04/09/25,02/09/25,,,9,,"3.5L Joining Bonus will be paid in 2 installments over a period of 2 years.
4L Restricted Stock Units (RSUs) vest quarterly over three years after an initial six-month waiting period, with payouts made quarterly thereafter.
8L Benefits include - Free Meals provided on campus, Free Transport for office commute, Relocation , Life Events (Birthday Gift), OwnSAP ,Wellness Cover for Employee, Higher Education Policy."
,Technical/Development Consultant Hiring,,,,,,,,,10,,
Wayfair,Software Engineer,75000,23,26,22/10/25,03/11/25,28/08/25,,,,,Only for internship but has performance based conversion.
IBM (ISDL),Software Engineer,30000,17,18.5,05/09/25,12/09/25,05/09/25,3,,14,,Additional Rs 25k INR Relocation - one Time pay
IBM (ISL),Software Developer,30000,17,18.5,21/09/25,27/09/25,20/09/25,,,81,,
IBM (CIO),Data Analyst / Cloud,30000,17,18.5,16/10/25,29/10/25 - 30/10/25,16/10/25,,,,,
Uber,SWE,,,,03/09/25,,,,,0,,
Hyperface,,,12,20,08/09/25,09/08/25,,4,,2,,"2L joining bonus, 6L ESOP's"
Cloudera,Software Engineer,45000,17,19,08/09/25,09/09/25,,,,9,"8.91 +  
(10th &12th >  90)",2433308 is the total compensation post additional reimbursements only + Possible Additional ESOPs (1600 units at 18$ vested 4 years)
Walmart Labs,SDE,100000,17,19.5,07/09/25,09/09/25,09/09/25,1,,4,9,"Given 19.5 is the CTC. Apart from this, joining bonus might be given based on company policy at the time of joining and additional stocks would be given."
Walmart Global Tech,Cybersecurity (Intern PBC),100000,17,19.5,24/09/25,13/10/25,,5,,,9.1,"Given 19.5 is the CTC. Apart from this, joining bonus might be given based on company policy at the time of joining and additional stocks would be given."
Pure Storage,,100000,26,53,09/09/25,11/09/25,,10,,,,Hiring for Internship only. Has performance based conversion
Kickdrum,Software Developer,35000,10,15.73,11/09/25,13/09/25,09/09/25,,,7,,"10 LPA (Fixed) + 1 Lakh (Variable) + 3
Lakhs (Special Bonus) + 1.73 LPA (Benefits,
retirals)"
Netradyne,Associate Software Engineer - Device,30000,10,14,03/11/25,05/11/25,,,,1,7.5,3DB + 1JB
,Associate Software Engineer - Business Systems,,,,,,,,,2,,
,Associate Database Administrator - Cloud,,,,,,,,,1,,
Super Money,SDE - 1,100000,18,19.8,12/09/25,15/09/25,,,,2,8.5,"Did not come to PES directly. Drive at IISc for which students of PES were also invited
(Other colleges - rvce,IIIT blr ,IIT Tirupati,IIT Dharwad and NMIT)
2 out of the 4 who got offer were from PES"
Dish Networks,,,,,15/09/25,,,,,,,
AppLogic(SandVine),,,13,15.5,16/09/25,,,,,2,8.99,
Natwest,,,,15,16/09/25,19/09/25,,,5,,,
Egnyte,Junior Software Engineer ,50000,13,14,18/09/25,,,,,3,,Fully remote job 
Oracle(OFSS),Associate Application Developer,50000,15.23,21.36,20/09/25,26/09/25,,,,,,USD 16000 additional over the CTC. Variable compensation provided at company's discretion at the time of joining
NewRelic,,,16,19,19/09/25,22/09/25,,,5,,,
Confluent,Software Engineer - Intern,110000,33.5,50,22/09/25,25/09/25,,,,0,,USD 40000 additional RSU vested over 2 years.
GameBerry,SDE,50000,15,17.85,21/09/25,22/09/25,22/09/25,,,6,,
Guidewire,,70000,,,,"1st round - 07/10/2025
2nd rund - 11/10/2025",22/09/25,5,,,,
Societe General,Software Engineer,35000,11,12.21,,23/09/25,,,,11,,
,Data Science,,,,,,,,,,,
,Cybersecurity Analyst,,,,,,,,,1,,
Commonwealth Bank of Australia,,,10.56,12.35,25/09/25,30/09/25,,,15,,,
Nvidia,Software Engineer Intern,80000,,33.46,24/09/25,,,,,1,,CTC inclusive of equity
,Hardware Engineer Intern,,,,,,,,,,,
Epsilon,,30000,11.2,12,,30/09/25,29/09/25,,,2,,
Philips,Software Intern,45000,11.5,14.5,,,,,,,,
,CyberSecurity,,,,,,,,,,,
HPE,IT Solution Mgr,40000,13,18,30/09/25,06/10/25,06/10/25,,2,13,,"Base varies from 12-14 based on specific roles
Eg SWE 12.5 , ML roles 14 , testing 12"
HPE (Juniper),COO,40000,12,17.5,30/10/25,,,,,,,
,MIST (AIDE),,,,,,,,,,,
Dezerv,Software Engineer,75000,15,22.5,08/10/25,09/10/25,08/10/25,,,,,"CTC inclusive of ESOPs worth 2.5 lakhs

OA was not DSA round . They asked to build components in full stack application using React , NodeJS and MongoDB in 1.5hr."
Razorpay,SDE - Backend,75000,18,35,12/10/25,,,,,,,"CTC inclusive of ESOPs worth 15 lakhs + 
2 Joining Bonus"
,Data Engineer,,,,,,,2,,,,
Boomi Software,Software Engineering Intern,40000,,14,11/10/25,,11/10/25,4,,,,
Inmobi,Software Development Engineer,55000,24,39,10/10/25,11/10/25,10/10/25,,,5,,"24 is bascially the CTC, the remaining amnt is the bonus over 3 years"
