Company,Role,Internship,Compensation (LPA),,OA Date,Shortlisted Interview,Presentation,Placed,,,Note
,,,Base,CTC,,,,Internship,FTE,Both,
LTI Mindtree,Graduate Engineer Trainee,,,4.05,20/09/2025,,,,,,
SAFRAN Engineering,,,,5,11/10/2025,13/10/25,,,,43,
Winman,Software Engineer L1,,,4.5,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total Visited,3,,,,,,Total Placed(T3),0,0,43,
,,,,,,,Grand Total,43,,,
Highest Package,5,,,,,,,,,,
Average Package,4.516666667,,,,,,,,,,
Median Package,4.5,,,,,,,,,,
