Tier1->below or equal to 6lpa,,,,,,
Tier2->above 6lpa,,,BMSCE,,,
OA held in campus,,,,,,
,,,,,,
,,,,,,
Company,Date of OA,CTC,Type,No of offers,Role,Any comments/questions/topics asked 
RingCentral,31/07/24,28(24 + 4 joining bonus),Internship(50k) 6 months + PBC,4,,
Cloudera ,,20,FTE,4,,9+ cgpa shortlisted 90ppl for test
Lowe's,,18.6,FTE,12,,
Phonepe,,14+2.5+6.5 esops,IT+PBC,2,,
Caterpillar,,13,IT+FTE,,,
Infosys,,9.5,,,,
Mu Sigma(T1),,5,,,,
Accenture,,6.5,,,,
Atkins,,6.2,,,,
ui path,,50k,it+pbc,,,
oracle,17/08/2024,19lpa,"FTE, IT+FTE","14(FTE), 5(IT+FTE)",,"oa had many mcqs with 1coding question, shortlisted 51 for fte and 24 for it+ft"
tcs,,3.5lpa,,,,
signal chip,,14lpa,,,5roles,mainly for core branches
qualcomm,,45k,it+pbc,4,,only mcqs with negative marking
global logic(T1),,5.6lpa,FT,,,
cargill,,35k,it,,,
fidelity,,12lpa,PPO,4,,
hpe,,17.5lpa,"IT, IT+FT",,,
hinge health,,50k,it+pbc,,,
ibm,,12lpa,IT+FT,24,"3roles->SDE,SRE and Tech Support","oa had 2coding questions, shortlisted 96 for interview "
alpha nodus (T1),,6lpa,IT+PBC,,,"gforms test, only mcqs easy level"
ellucian,,8.6lpa,IT+PBC,1,,
athena health ,,45k,it+pbc,5,,
acko ,,18lpa,,,,
Deutsche Bank,,20.5lpa(15base),FT,7,Graduate Analyst,OA had 3coding questions (medium to hard level)
Natwest,,13lpa,FT,9,Software Engineer,"OA had 4sections, with mcqs and 2coding (few had easy questions, few had medium to hard questions)"
Netradyne,,14lpa(10base),IT+FT,,"3roles-> Cloud SDET, Device QA IOT-SDET, Cloud DBA",
Ittiam Systems,,16lpa,FT,3,,OA had 20mcqs based on aptitude and programming concepts
Sixt,,"15lpa, 40kpm",IT+PBC,3,,OA had 10-15mcqs and 2coding questions
CynLr,,30kpm,IT+FT,,"SDE->12-18lpa, Application Engineer->8-10lpa","OA had 8 sections which included descriptive answers, questions related to physics, mcqs and 3coding"
saviynt ,,"14lpa, 40kpm",IT+FT,,Associate Engineer - Java,
starten systems,,12lpa,IT+FT,3,Member Technical Staff,"shortlisted 7students based on resume, no OA direct interview"
Deloitte ,,7.6lpa(6base),IT+FT,,,
inMobi technologies ,,22lpa,IT+FT,5,SDE 1,oa had 3 coding questions
Prime numbers,,"30kpm, 12lpa",IT+PBC,,SDE1: Python Data Backend Intern,"oa was conducted by eLitmus, it had 2coding (75min) and pH test(125min) which included aptitude, problem solving, verbal. 20 questions each"
Dish Network,,14LPA,IT+FT,,Engineer,"oa had only mcqs, there were 4sections out of which 3 had to be answered. Aptitude and analytical sections were complusory. Choice between core java and c,c++ is given for other 2sections"
Cohesity,,14lpa(10base),FT,,SRE,
Impact Analysis,,13lpa(10base),IT+FT,5,Business Analyst,
Quantiphi,,"8.5lpa(6.5base), 23kpm",IT+PBC,3,Business Analyst,
Honeywell,,"8lpa, 30kpm",IT+PBC,23,"Software Engineer, Embedded Engineer,Mechanical Engineer, Hardware Engineer",shortlisted 211 for interview 
Toshiba,,7.5lpa,FT,0,Trainee Engineer,shortlisted 3 for interview
Worldline,,7lpa,IT+FT,,Software Engineer ,conducted walk in interviews
Confluent,,"1.1LPM, 35lpa",IT+PBC,2,Software Engineer,entire process was virtual
Synamedia,,8.25lpa,IT+FT,1,"Associate software engineer, associate techincial support engineer",
Broadridge,,10lpa,IT+FT,5,Member techincal ,
KickDrum,,14lpa(10base),IT+FT,0,Software Developer,
NKE,,6lpa,FT,,Sales Operation Analyst,
Whatfix,,"15lpa, 50kpm",IT+PBC,0,Software Engineer,
HPE,,"17.5lpa,40kpm","IT, IT+grad","5(IT+grad), 2(IT)",,shortlisted 25 for interview
Evertz,,8LPA,IT+PBC,,,
Cognizant,,4-6.7LPA,FT,,,
Numocity,,7.2LPA,FT,,Software Engineer,
DeltaX,,7LPA,FT,,Associate Product Engineer(Fullstack Developer),
Viseton,,"25KPM, 7LPA",IT+FT,,Software Engineer,
Dassault Systems,,"30KPM, 10LPA",IT+PBC,,Software Engineering Associate,
Volvo,,30KPM,IT,,GET/PGET,
Aptean,,25KPM,IT,,Associate Engineer Development,
Bullwork Mobility,,10KPM,IT ,,Autonomous Systems Intern,
Oracle ,,50KPM,IT,,Project Intern Oracle CSS,
Zapcom,,"25KPM,6LPA",IT+PBC,,Software Engineer,
Kalki Communications,,6LPA,FT,,Graduate Engineer Trainee,
Altair Engineering ,,3.6LPA,IT+PBC,,,
Nutanix Technology,,"40KPM, 11.9LPA",IT+PBC,3,Remote Resident Expert,
Cimpress,,"35KPM, 12LPA",IT+PBC,2,Software Engineering Intern,
Nous Infosystems,,"15KPM,5LPA",IT+PBC,,Intern,
West Pharmaceutical,,40KPM,IT+PBC,,Graduate Trainees,
HPE,,"40KPM, 17.5LPA",IT+FT,3,Intern+Grad,pool campus hiring 
Nvidia,,80KPM,IT,,Hardware Engineering intern,
Safran Engineering ,,5LPA,FT,,Engineer,
JLL Technology,,8LPA,IT+PBC,,,
NKE Group,,6LPA,FT,,Technical Bid associate/ Sales Operations Analyst,
National Instruments,,45KPM,IT,,Software Engineering Intern,
Lease Work,,10LPA,IT+PBC,,,
MathCo,,5.5LPA,FT,,Trainee Analyst,
Dozee,,"20KPM, 6LPA",IT+PBC,,"Firmware Engineer, Hardware Engineer, Software Engineer Intern",
Vimaan Robotics,,"25KPM,12LPA",IT+PBC,,Intern- Software Development,
Infogain,,"20KPM,4.3LPA",IT+PBC,,Associate Software Engineer,
eLitmus,,"29KPM, 12LPA",IT+FT,,Software Developer,
Fidelity International,,9LPA,FT,,Graduate Programmer,
Moxo,,"30KPM, 8-10LPA",IT+PBC,,Solutions Associate,
London Stock Exchange Group,,11.5LPA,FT,,Technology Graduate Programme,
Eurofins,,10.7LPA,IT+PBC,,Associate Software Engineer,
Accolite,,"20KPM,8LPA",IT+FT,,Software Engineer,
Instawork,,35KPM,IT,,Software Development Engineer,
Align Technology,,50KPM,IT,,"Devops Engineer, Release Engineering, System Integration, Web Developer, Algorithm Developer, FPGA Engineer",
Indium software,,8LPA,IT+PBC,,"Data Analytics, Data Engineer",
Omega Healthcare,,2.6LPA,FT,,AR Associate,
Telstra ,,10LPA,IT+FT,,Software Engineering Associate,
Blinkit,,8LPA,FT,,Admin(Techincal Support),
Boomi Software,,"40kpm, 9-14LPA",IT+PBC,7,"Software Engineer, Solution Engineer, System Engineer ",
McAfee Software,,"42KPM, 12.6LPA",IT+PBC,4,Software Development Engineer,
Medibuddy,,25KKPM,IT,,SDE Intern,
Castsoftware,,"25KPM, 10-12LPA",IT+PBC,,Full-stack Engineer,
Cars 24,,"30KPM, 10LPA",IT+FT,,Software Development Engineer,only CS and ECE 
Fractal Analytics,,7LPA,FT,,Imagineer,
Havells,,"25KPM, 8LPA",IT+FT,"1-software, 1-IoT","Software Engineer, Solar, IoT, Power Electronics",
Precisely,,8.5LPA,IT+PBC,,Assoicate Support Engineer,
Go Digit,,6-7.5LPA,FT,,Graduate Trainee Engineer,
CommScope,,13LPA,FT,,,
Licious ,,"40KPM, 16LPA","IT+PBC, FT","2-interns, 2-FT",SDE1- Backend Engineer,
Bluebird,,"25KPM,6-10LPA",IT+PBC,,"Android Software Engineer, Cloud Programmer, Android BSP Engineer",
Textron,,"25KPM, 6.2LPA",IT+PBC,,,
Stellantis,,"20KPM, 6LPA",IT+FT,,GET,
Philips,,"45KPM, 11.5LPA",IT+FT,,"Cybersecurity, software intern",
RamSoft,,50KPM,IT+PBC,5,AI Intern,
