Blue - ONCAMPUS tests,,,,"Tier1 (T1) Offers - >12 Lpa CTC, Once Offer given student has to opt out from Placements EXCEPT for DREAM Offers (>60lpa) which will be mentioned in mail",,,,,,,,
Yellow - Resume Shortlisting / No OA - Direct Interview,,,,"Tier2 (T2) Offer - >=6 & <12 Lpa, Student with this offer can continue to sit for T1 Companies (while holding this offer)",,,,,,,,
Green - Dream Offer (>60lpa),,,,"Tier3 (T3) Offer - < 6 Lpa, Student can sit for T2 & T1 Companies (while holding this offer)",,,,,,,,
Red - Mass Hirers ( >= 20 offers),,,,"Dream Offer - >60 LPA, Every student who clears company eligibility is allowed to sit for these, irrespective of having any Offer.",,,,,,,,
Purple - Companies which returned Back for another round of Hiring ,,,,,,,,,,,,
T1 (FTE+Intern) Offers (People with Single Offers),,,,342,,Total Offers,,,844,,,
"Other Offers (People with Multiple Offers, can continue to sit for placements)",,,,502,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Company,Date of OA,Offline Test,Tier,CTC,Role,Type,Total Offers,CGPA cutoff,Allows ECE,MCA,MTech (CS),Any comments/questions/topics asked 
PhonePe,27/7/24,FALSE,Tier 1,"32 LPA (19 base, 8 Esops), 80k intern",SDE,FTE + Intern,3,6,FALSE,FALSE,FALSE,"Coding Test was Medium Hard Level, Shortlisted 25 for 1st Round, Open to All depts"
Vyapar Apps,30/7/24,FALSE,Tier 1,"30 LPA (15 Base, 10 Esops), 50k intern",SDE,FTE + Intern,4,9,FALSE,FALSE,FALSE,Technical Test was held 2 times. The first technical test was very easy. Second Techincal Test was held in Campus
CouchBase,2/8/24,FALSE,Tier 1,"27 LPA (20 Base), 1.2 Lakh (intern)","SDE, QE, Support",FTE + Intern,"12 (7 Dev, 2 QE, 3 Support)","8 (Support, QE), 9 (Dev)",FALSE,FALSE,FALSE,"Shortlisted 102 students (based on Resume), Support - Tested more on Project Understanding, Current Technologies, Theory Fundamentals (OS,CN, DBMS), Less of DSA. Dev tested more of DSA/Problem solving, QE was a mix"
Zomato,3/8/24,TRUE,Tier 1,"56 LPA (24 Base), 60k intern",SDE,FTE + Intern,3,8,FALSE,FALSE,FALSE,https://www.geeksforgeeks.org/community/post/34351/zomato-x-blinkit-interview-experience-for-sde-i-on-campus-2024/
Arista Network,2/8/24,TRUE,Tier 1,19 LPA + Stocks,SDE,FTE + Intern,6,7.5,FALSE,FALSE,FALSE,"3 Qs (LL, Greedy, Backtracking) + 20 MCQs (CN, OOPS, Cpp, Linux), Conducted 4 Rounds of interview (3DSA/Project - 1HR), Selected 6 out 7 PPL who reached HR round, Shortlisted around 30 PPL for first round interview"
Okta ,6/8/24,TRUE,Tier 1,"28 LPA (14 Base) , 80k Intern",SDE,FTE + Intern,8,8,FALSE,FALSE,FALSE,"OA Tips: Majorly focus on coding quickly (70 min, 4 problems) and learn String manipulation in ur language (substr in cpp) only after which logic can be used , 2 Rounds, 1st was DSA (Tree DFS problem), 2nd Round was OOPS (system design) (Design building with floors, gym,cafe) Last was HR. "
Infosys (All India),4/8/24,FALSE,Tier 2,9.5 LPA (6 Base),SDE,FTE,8,6,FALSE,FALSE,FALSE,Questions Lifted Directly from Codeforces Problems. Shortlisted 18 ppl for interview
StockX,4/8/24,FALSE,Tier 1,"22 LPA (20 Base), 60k intern",Associate S/W Eng.,FTE + Intern,4,9.5,FALSE,FALSE,FALSE,"Resume Shortlisting, 30 Shortlisted for 1st Round"
CBX1 ,10/8/24,TRUE,Tier 1,"21 CTC (17 Base), 50k Intern",SDE,FTE + Intern,2 + 2 (Internship),8,FALSE,FALSE,FALSE,Shortlisted 24 people
LAM Research,7/8/24,FALSE,Tier 1,14 LPA (11 Base),"SDE, QA",FTE + Intern,1,6,FALSE,FALSE,FALSE,"Sectional Timer Test - I Applied for QA - All MCQ (Aptitude 15Q-20Min), Tech(45 Mcq - 60Min). For SDE they had Coding as well 2DSAI "
Societe Generale (SG),8/8/24,FALSE,Tier 1,"12 LPA, 30k Intern",SDE,FTE + Intern,12(S.E) + 3(Cyber Sec) = 15,6.5,FALSE,FALSE,FALSE,"Sectional Timer Test - 3 Sections - Aptitude (15Q-20Min), Technical (10Q), DSA(2Coding-40Min) - String & Min Spanning Tree"
IDFC Bank,8/10/24,FALSE,Tier 1,18 LPA (14 Base),Application Engineer,FTE + Intern,3,6,FALSE,FALSE,FALSE,"Sectional Timer Test - 3 Sections - Aptitude (15Q-20Min), Technical (10Q), DSA(2Coding-40Min)"
Cloudera,16/8/24,FALSE,Tier 1,19 LPA (17 Base),SDE,FTE + Intern,6,8.9 + Resume Shortlist,FALSE,FALSE,FALSE,70 Shortlisted for test
IBM (General),17/8/24,FALSE,Tier 1,"17 CTC, 30k Intern",SDE,FTE + Intern,50(FTE) + 2 (Internship),7,FALSE,FALSE,FALSE,"Open for All, 2 coding in 1 hr, shortlisted 200+ PPL for Interview divided into Different roles/Domains (Automation, D&Ai)"
Schneider electric ,17/8/24,FALSE,Tier 1,"12 CTC, 35k intern ",Graduate Engineer Trainee (GET),FTE + Intern,6,,FALSE,FALSE,FALSE,
Singularity Dynamics ,23/8/24,FALSE,Tier 1,"16 LPA (13 Base), 30k intern","SDE (CSE) ,Chip Verification (R&D) (ECE,EEE)",FTE + Intern,2,8.5,FALSE,FALSE,FALSE,
Typeface.ai,20/8/24,FALSE,Tier 1,"16-20 LPA+ESOPs (6k$), 35k Intern",SDE & ML (Hyderabad office),FTE + Intern,0,8.5+,FALSE,FALSE,FALSE,"Open to all depts, Relocation to HYD on our own, Shortlisted 38 for next round. Includes Project Round where you had to complete a task given by the team in few days deadline"
Apple (India),23/8/24,FALSE,Tier 1,80k Intern,12-Roles-All named SDE Intern,Internship (PBC),20,7 (as of now),FALSE,FALSE,FALSE,"Shortlisted 90 People for Interviews (2 Round), Dream company (>60 lpa), Open for all (even ones holding offer), Had 2 tests, 1st one had 2 Coding (Greedy - https://leetcode.com/problems/jump-game/ , 1 Graph, 10 MCQs (DBMS, Oops, DSA) due to technical glitch had to retest, 2nd and Final test - Had 2 Coding (1-Similar to https://leetcode.com/problems/reverse-pairs/ , other one was Sliding window + Binary Search) and 5 MCQs (DSA, Os(kernal/system threads) in 1 hr 10 mins"
Egnyte (WFH only),23/8/24,FALSE,Tier 1,"14 LPA, 50k Intern",Backend Intern,FTE + Intern,4,7.5,FALSE,FALSE,FALSE,"Asked DP, Graph, 1 SQL problem, 10 aptitude... Sectional wise"
IBM (Female Only),24/8/24,FALSE,Tier 1,"17 CTC, 30k Intern",SDE,FTE + Intern,28,7,FALSE,FALSE,FALSE,"Shortlisted 108 for Interview, 2 Tests (1st - 4 coding, 23 MCQs, 1.5 hrs... 2nd - 3 coding(Valid BST Iterative, Addition of Binary strings, Youngest Member not in array), 15 MCQs 1.5 hrs)"
Walmart ,1/9/24,TRUE,Tier 1,"22.6 LPA (16 Base), 1L Intern",SDE - II,FTE + Intern ,6,9+,FALSE,FALSE,FALSE,"Shortlisted 9+ CGPA for OA (~100 people), Shortlisted 30 for Interview"
DE Shaw,2/9/24,FALSE,Tier 1,"50 Package (18 Base, 20L Long term Incentive)","SDE (Test Engineer).",FTE + Intern,1,"7 (CS), 8(other dept)",FALSE,FALSE,FALSE,
Infibeam,26/8/24,TRUE,Tier 1,"12 CTC (10 Base), 20k Stipend",SDE,FTE + Intern ,2,8.8+,FALSE,FALSE,FALSE,"Oncampus, Shortlisted 18 PPL for Interview"
Bain Capability Network (Bcn),29/8/24,FALSE,Tier 2,"11 CTC (9 Base), 40k Stipend",Non Tech - Intern Analyst,Internship (PBC),8,6,FALSE,FALSE,FALSE,"Shortlisted 45 people across dept for interview, Had 1 round interview 1 case study round, Questions asked on Guess estimate problems (Opening a Dress Shop in Bangalore, Profit margin in Tires)"
Netradyne ,27/8/24,TRUE,Tier 1,"14 CTC (10 Base), 35k Stipend",Associate IT Engineer (Support Role),FTE + Intern ,12,8.7+,FALSE,FALSE,FALSE,Oncampus
LTIMindTree,4/9/24,TRUE,Tier 3,4 LPA (Base 2),Graduate Engineer Trainee,FTE,41,6,TRUE,TRUE,FALSE,
CommVault,2/9/24,TRUE,Tier 1,"32 CTC (16 Base + 16L Stocks), 50k Intern",SDE,FTE + Intern,0,8.5+,FALSE,FALSE,FALSE,"Shortlisted 7 for interview, Virtual Interview"
Meesho,29/8/24,TRUE,Tier 1,"32 CTC (20 Base), 35k Intern",SDE,FTE + Intern,4,7,FALSE,FALSE,FALSE,"Shortlisted 30+ ppl for Interview, 2 Rounds (2nd one being OOPS system design based round)"
,5/9/24,TRUE,Tier 1,"21 CTC (13 Base), 25k Intern",BA (Business Analyst),FTE + Intern,0,7,FALSE,FALSE,FALSE,Open to All Branches
Sixt,2/9/24,TRUE,Tier 1,"19 CTC (12 Base), 40k Intern",SDE 1,FTE + Intern,4,7,FALSE,FALSE,FALSE,
Cynlr (https://cynlr.com/),2/9/24,FALSE,Tier 1,"Design & Development: 10-14 LPA (Fully Fixed) 

Application Engineering: 8-10 LPA (Fully Fixed)

Software Developer: 14-18 LPA (Fully Fixed)","Design & Development
Application Engineering
Software Developer",FTE + Intern,1 (EEE student - Design Role),7.25,TRUE,FALSE,FALSE,"Open to all branches, Asked Physics questions in OA, Interesting Startup (https://cynlr.com/)"
Inmobi Technologies ,2/9/24,TRUE,Tier 1,"22 Lakh Base + 5 JoinBonus + Stock, 45k Intern",SDE,FTE + Intern,8,8.5+,FALSE,FALSE,FALSE,
GE Healthcare,,FALSE,Tier 1,"16 LPA, 40k intern",SDE,FTE + Intern,,7,FALSE,FALSE,FALSE,
Baxter,5/9/24,TRUE,Tier 1,"12 LPA for software, 10 LPA for Hardware, Systems and other, 30k intern","Digital, Embedded Engineer",FTE + Intern,10 (7(Digi-CSE)+3(Embd-ECE)),8.5+,FALSE,FALSE,FALSE,"Shortlisted 44 people (27 CS for Digital Role, 17 other dept for Embedded Software)"
Deloitte US-India(T2),5/9/24,FALSE,Tier 2,7.6 LPA (6 Base),Technology Analyst,FTE + Intern,10,6,FALSE,FALSE,FALSE,"Interviews Tomorrow, Shortlisted 50 for Technology Analyst, 68 for USI Analyst, Conducted same test for both roles at a time"
,,FALSE,,,Deloitte US-India Analyst,FTE + Intern,27,6,FALSE,FALSE,FALSE,
HPE,6/9/24,FALSE,Tier 1,"17.5 CTC, 40k Intern",SDE,"FTE + Intern, Internship (PBC)","10 (5 -FTE+Intern, 5 -Intern only)",7,FALSE,FALSE,FALSE,
