,,,,,,,
Total Placed (CSE) ,,162,RVCE,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Company,Date of OA,CTC,Type,Offers (CSE only),Role,Any comments/questions/topics asked ,
Microsoft,14/08/2023,"20 LPA (14 base) + 35k USD stocks, 1.25L intern",PPO,3,SDE ,,
SAP,5/10/2023,"24.62 LPA, 35k intern",PPO,3,SDE ,,
Texas Instruments,22/09/2023,"36.42 LPA, 60k intern",PPO,3,"Software Intern, Analog Intern, Digital Intern",,
Arcesium,7/9/2023,"40 LPA, 1.25L intern",PPO,1,SDE ,,
Philips,5/6/2024,"11.5 LPA, 45k intern",PPO,3,"Software Intern, Bio Medical, Cyber Security, Project Management, Electrical, Electronics, Mechanical, Mechatronics ",,
HPE CTY,12/1/2024,17.5 LPA,PPO,1,SDE ,5 candidates were working on projects,
Samsung R&D,,20 LPA,PPO,1,Developer,Magpie Intern. Off campus,
Vyapar Apps,30/07/2024,"30 LPA, 50k intern",FTE + Internship ,1,SDE ,33 shortlisted for interviews (All above 8.5 gpa) ,
Zomato,1/8/2024,"56 LPA (24 Base), 60k intern",FTE + Internship (PBC) ,1,SDE ,"14 shortlisted for interviews, OA had 3 coding questions of medium-hard difficulty ",
PhonePe,3/8/2024,"32.75 LPA (19.25 Base), 80k intern",FTE + Internship (PBC) ,1,SDE,"24 shortlisted for interviews, OA had 4 coding questions and all had to be coded from main function",
FiveTran,2/8/2024,"54.5 LPA (18 gross salary, 30 esops), 40k intern",FTE + Internship (PBC) ,2,SDE ,"24 shortlisted for interviews, OA had only 1 coding question to be solved in 60 mins",
Ring Central,2/8/2024,"28 LPA (24 Base), 50k intern",FTE + Internship (PBC) ,5,SDE ,"28 shortlisted for interviews, OA had 2 coding questions and 5 mcqs",
AirBus,4/8/2024,10 LPA,FTE,0,"Associate Engineer - Methods and Tools, Structure Aerothermal, Structures Design, Simulation Modeling, MSPA ",,
JPMC,7/8/2024,"19 LPA, 75k intern",FTE + Internship (PBC) ,0,"Data Analyst, Operations Data Analyst","49 shortlisted for interviews, OA had aptitude mcqs",
PureStorage,4/8/2024,"21 LPA base, 30 LPA RSU, 3 JB, 1L intern",FTE + Internship (PBC) ,4,Firmware and low level hardware related,"16 shortlisted for interviews, OA had 2 coding questions and 8 mcqs",
Box8,5/8/2024,"22 LPA(12 Base) + 10 ESOPS, 40k intern",FTE + Internship (PBC) ,0,SDE,"OA had 3 coding questions, was like a leaderboard contest",
ABB,10/8/2024,"12 LPA (10 Base + 1 JB + 1 RB ), 30k intern",FTE + Internship,0,Process Automation Digital,"6 rounds process, also consisted of website design and development, 32 shortlisted for interviews",
Arista Network,06/08/2024,19 LPA + Stocks,FTE + Internship,0,SDE,OA had 20 mcqs and 3 coding questions,
Dover,08/08/2024,"11 LPA, 25k intern",FTE + Internship ,0,Software Profile,20 shortlists for interviews,
IBM (women only),10/8/2024,"17 LPA + 1.5L bonus, 30k intern",FTE + Internship,1,SDE,9 shortlists for interviews,
Bitgo,7/8/2024,"33 to 35 LPA, 30k intern",FTE + Internship (PBC),2,SDE,"24 shortlists for interviews, there were 2 online assessments each having 2 coding questions ",
