Year,College,Company,Date_OA,Offline_Test,Tier,CTC_LPA,Base_LPA,Internship_Stipend_Monthly_INR,Role,Type,Total_Offers,CGPA_Cutoff,Allows_ECE,Allows_MCA,Allows_MTech_CS,Comments,Source_File
2025,PES,PhonePe,27-07-2024,FALSE,Tier 1,32,19,80000,SDE,FTE + Intern,3,6,FALSE,FALSE,FALSE,"Coding Test was Medium Hard Level, Shortlisted 25 for 1st Round, Open to All depts",Cross-College companies info - PES.csv
2025,PES,Vyapar Apps,30-07-2024,FALSE,Tier 1,30,15,50000,SDE,FTE + Intern,4,9,FALSE,FALSE,FALSE,Technical Test was held 2 times. The first technical test was very easy. Second Techincal Test was held in Campus,Cross-College companies info - PES.csv
2025,PES,CouchBase,02-08-2024,FALSE,Tier 1,27,20,120000,"SDE, QE, Support",FTE + Intern,3,9,FALSE,FALSE,FALSE,"Shortlisted 102 students (based on Resume), Support - Tested more on Project Understanding, Current Technologies, Theory Fundamentals (OS,CN, DBMS), Less of DSA. Dev tested more of DSA/Problem solving, QE was a mix",Cross-College companies info - PES.csv
2025,PES,Zomato,03-08-2024,TRUE,Tier 1,56,24,60000,SDE,FTE + Intern,3,8,FALSE,FALSE,FALSE,https://www.geeksforgeeks.org/community/post/34351/zomato-x-blinkit-interview-experience-for-sde-i-on-campus-2024/,Cross-College companies info - PES.csv
2025,PES,Arista Network,02-08-2024,TRUE,Tier 1,19,,65000,SDE,FTE + Intern,6,7.5,FALSE,FALSE,FALSE,"3 Qs (LL, Greedy, Backtracking) + 20 MCQs (CN, OOPS, Cpp, Linux), Conducted 4 Rounds of interview (3DSA/Project - 1HR), Selected 6 out 7 PPL who reached HR round, Shortlisted around 30 PPL for first round interview",Cross-College companies info - PES.csv
2025,PES,Okta,06-08-2024,TRUE,Tier 1,28,14,80000,SDE,FTE + Intern,8,8,FALSE,FALSE,FALSE,"OA Tips: Majorly focus on coding quickly (70 min, 4 problems) and learn String manipulation in ur language (substr in cpp) only after which logic can be used , 2 Rounds, 1st was DSA (Tree DFS problem), 2nd Round was OOPS (system design) (Design building with floors, gym,cafe) Last was HR.",Cross-College companies info - PES.csv
2025,PES,Infosys (All India),04-08-2024,FALSE,Tier 2,9.5,6,,SDE,FTE,8,6,FALSE,FALSE,FALSE,Questions Lifted Directly from Codeforces Problems. Shortlisted 18 ppl for interview,Cross-College companies info - PES.csv
2025,PES,StockX,04-08-2024,FALSE,Tier 1,22,20,60000,Associate S/W Eng.,FTE + Intern,4,9.5,FALSE,FALSE,FALSE,"Resume Shortlisting, 30 Shortlisted for 1st Round",Cross-College companies info - PES.csv
2025,PES,CBX1,10-08-2024,TRUE,Tier 1,21,17,50000,SDE,FTE + Intern,2,8,FALSE,FALSE,FALSE,Shortlisted 24 people,Cross-College companies info - PES.csv
2025,PES,LAM Research,07-08-2024,FALSE,Tier 1,14,11,,"SDE, QA",FTE + Intern,1,6,FALSE,FALSE,FALSE,"Sectional Timer Test - I Applied for QA - All MCQ (Aptitude 15Q-20Min), Tech(45 Mcq - 60Min). For SDE they had Coding as well 2DSAI",Cross-College companies info - PES.csv
2025,PES,Societe Generale (SG),08-08-2024,FALSE,Tier 1,12,,30000,SDE,FTE + Intern,15,6.5,FALSE,FALSE,FALSE,"Sectional Timer Test - 3 Sections - Aptitude (15Q-20Min), Technical (10Q), DSA(2Coding-40Min) - String & Min Spanning Tree",Cross-College companies info - PES.csv
2025,PES,IDFC Bank,08-10-2024,FALSE,Tier 1,18,14,,Application Engineer,FTE + Intern,3,6,FALSE,FALSE,FALSE,"Sectional Timer Test - 3 Sections - Aptitude (15Q-20Min), Technical (10Q), DSA(2Coding-40Min)",Cross-College companies info - PES.csv
2025,PES,Cloudera,16-08-2024,FALSE,Tier 1,19,17,,SDE,FTE + Intern,6,8.9,FALSE,FALSE,FALSE,70 Shortlisted for test,Cross-College companies info - PES.csv
2025,PES,IBM (General),17-08-2024,FALSE,Tier 1,17,,30000,SDE,FTE + Intern,2,7,FALSE,FALSE,FALSE,"Open for All, 2 coding in 1 hr, shortlisted 200+ PPL for Interview divided into Different roles/Domains (Automation, D&Ai)",Cross-College companies info - PES.csv
2025,PES,Schneider electric,17-08-2024,FALSE,Tier 1,12,,35000,Graduate Engineer Trainee (GET),FTE + Intern,6,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Singularity Dynamics,23-08-2024,FALSE,Tier 1,16,13,30000,"SDE (CSE) ,Chip Verification (R&D) (ECE,EEE)",FTE + Intern,2,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Typeface.ai,20-08-2024,FALSE,Tier 1,20,,35000,SDE & ML (Hyderabad office),FTE + Intern,0,8.5,FALSE,FALSE,FALSE,"Open to all depts, Relocation to HYD on our own, Shortlisted 38 for next round. Includes Project Round where you had to complete a task given by the team in few days deadline",Cross-College companies info - PES.csv
2025,PES,Apple (India),23-08-2024,FALSE,Tier 1,,,80000,12-Roles-All named SDE Intern,Internship (PBC),20,7,FALSE,FALSE,FALSE,"Shortlisted 90 People for Interviews (2 Round), Dream company (>60 lpa), Open for all (even ones holding offer), Had 2 tests, 1st one had 2 Coding (Greedy - https://leetcode.com/problems/jump-game/ , 1 Graph, 10 MCQs (DBMS, Oops, DSA) due to technical glitch had to retest, 2nd and Final test - Had 2 Coding (1-Similar to https://leetcode.com/problems/reverse-pairs/ , other one was Sliding window + Binary Search) and 5 MCQs (DSA, Os(kernal/system threads) in 1 hr 10 mins",Cross-College companies info - PES.csv
2025,PES,Egnyte (WFH only),23-08-2024,FALSE,Tier 1,14,,50000,Backend Intern,FTE + Intern,4,7.5,FALSE,FALSE,FALSE,"Asked DP, Graph, 1 SQL problem, 10 aptitude... Sectional wise",Cross-College companies info - PES.csv
2025,PES,IBM (Female Only),24-08-2024,FALSE,Tier 1,17,,30000,SDE,FTE + Intern,28,7,FALSE,FALSE,FALSE,"Shortlisted 108 for Interview, 2 Tests (1st - 4 coding, 23 MCQs, 1.5 hrs... 2nd - 3 coding(Valid BST Iterative, Addition of Binary strings, Youngest Member not in array), 15 MCQs 1.5 hrs)",Cross-College companies info - PES.csv
2025,PES,Walmart,01-09-2024,TRUE,Tier 1,22.6,16,100000,SDE - II,FTE + Intern,6,9,FALSE,FALSE,FALSE,"Shortlisted 9+ CGPA for OA (~100 people), Shortlisted 30 for Interview",Cross-College companies info - PES.csv
2025,PES,DE Shaw,02-09-2024,FALSE,Tier 1,50,18,2000000,"SDE (Test Engineer).",FTE + Intern,1,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Infibeam,26-08-2024,TRUE,Tier 1,12,10,20000,SDE,FTE + Intern,2,8.8,FALSE,FALSE,FALSE,"Oncampus, Shortlisted 18 PPL for Interview",Cross-College companies info - PES.csv
2025,PES,Bain Capability Network (Bcn),29-08-2024,FALSE,Tier 2,11,9,40000,Non Tech - Intern Analyst,Internship (PBC),8,6,FALSE,FALSE,FALSE,"Shortlisted 45 people across dept for interview, Had 1 round interview 1 case study round, Questions asked on Guess estimate problems (Opening a Dress Shop in Bangalore, Profit margin in Tires)",Cross-College companies info - PES.csv
