batch_year,college,company_name,job_role,tier,internship_stipend_monthly,base_salary,total_ctc,num_fte,num_intern,num_fte_intern,cgpa_cutoff,is_internship,has_ctc_data,has_base_data,has_cgpa_data
2022,PES,Stipend,Interns,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,American Express,Technology Intern,Internship-Spring,70.0,,21.0,21.0,21.0,,,True,True,False,False
2022,PES,Amazon,SDE Intern,Internship-Spring,80.0,,,25.0,,,,True,False,False,False
2022,PES,Zoom,Security Engineer,Internship-Spring,35.0,,,21.0,,,,True,False,False,False
2022,PES,Samsung Semiconductor,Student Trainee Software,Internship-Spring,50.0,5.0,5.0,21.0,21.0,14.25,,True,True,True,False
2022,PES,Student Trainee Hardware,,Internship-Spring,5.0,,,,,,,True,False,False,False
2022,PES,Nvidia,Hardware Intern,Internship-Spring,50.0,,,29.0,,,,True,False,False,False
2022,PES,HPE,Digital Transformation Intern,Internship-Spring,35.0,,,,,,,True,False,False,False
2022,PES,Sales Operations Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Planning M Space Global Operations Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Strategic Sourcing Intern,30k,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Infoblox,Software Engineer Intern,Internship-Spring,30.0,11.0,21.0,2116.0,21.0,,9.5,True,True,True,True
2022,PES,Digicert,Associate Software Engineer,Internship-Spring,40.0,,,,,,,True,False,False,False
2022,PES,Associate Business Intelligence Analyst,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Associate Software Engineer (Automation),,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Publicis Sapient,Engineering Intern,Internship-Spring,30.0,,21.0,21.0,21.0,,,True,True,False,False
2022,PES,Zebra Technologies,Intern,Internship-Spring,30.0,11.0,21.0,,21.0,,9.0,True,True,True,True
2022,PES,Textron,Intern,Internship-Spring,18.0,,,21.0,21.0,4.5,5.03,True,False,False,True
2022,PES,Juniper Networks,Intern,Internship-Spring,42.0,20.0,20.0,21.0,21.0,,,True,True,True,False
2022,PES,Intel,Intern,Internship-Spring,40.0,4.0,4.0,,,,,True,True,True,False
2022,PES,At&T India,Technical Intern,Internship-Spring,42.0,,,,,,,True,False,False,False
2022,PES,EY Gds,Intern - GDS Assurance Digital,Internship-Spring,21.0,4.0,4.0,,,,,True,True,True,False
2022,PES,Autodesk,"Intern Software Developer
 Data and Process Management",Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Intern Software Development Pdms-Mfgfusion360,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Kimberly Clark,Integration,Internship-Spring,25.0,1.0,,21.0,22.0,,,True,False,True,False
2022,PES,Automation Content & Process Enablement,,Internship-Spring,2.0,,,,,,,True,False,False,False
2022,PES,Global Website Engineering,,Internship-Spring,1.0,,,,,,,True,False,False,False
2022,PES,Devsecops Automation,,Internship-Spring,1.0,,,,,,,True,False,False,False
2022,PES,Wem,,Internship-Spring,1.0,,,,,,,True,False,False,False
2022,PES,Control Tower,,Internship-Spring,2.0,,,,,,,True,False,False,False
2022,PES,Salesforce Commerce Cloud Intern,,Internship-Spring,,,21.0,21.0,,,,True,True,False,False
2022,PES,Hiver,Application Support Engineer,Internship-Spring,21.5,,,21.0,22.0,,8.0,True,False,False,True
2022,PES,Uber,Software Engineering Intern,Internship-Spring,1.6,,,29.0,21.0,,,True,False,False,False
2022,PES,Brane Enterprises,Intern,Internship-Spring,30.0,,,,22.0,,7.0,True,False,False,True
2022,PES,Quicken Software,Intern,Internship-Spring,50.0,6.0,26.0,26.0,,,,True,True,True,False
2022,PES,​Matrecomm Technologies,Intern,Internship-Spring,15.0,,,,,,6.5,True,False,False,True
2022,PES,Yahoo!,Intern,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Matrecomm,Intern,Internship-Spring,15.0,,30.0,30.0,,,6.5,True,True,False,True
2022,PES,Hackerearth,Intern,Internship-Spring,40.0,,,,,10.0,,True,False,False,False
2022,PES,Garrett Motion,Intern,Internship-Spring,50.0,3.0,21.0,21.0,21.0,,,True,True,True,False
2022,PES,Rakuten,Technical Intern,Internship-Spring,25.0,8.0,8.0,21.0,,,,True,True,True,False
2022,PES,Signify (Females Only),Intern,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Johnson Controls,Intern,Internship-Spring,18.0,,,,,,6.0,True,False,False,True
2022,PES,Grant Thornton,Intern,Internship-Spring,18.0,3.0,27.0,22.0,22.0,,,True,True,True,False
2022,PES,Cisco,Intern,Internship-Spring,65.0,6.0,6.0,21.0,2116.0,,,True,True,True,False
2022,PES,Zscaler,Data Scientist Intern,Internship-Spring,30.0,,,,,10.0,,True,False,False,False
2022,PES,Machine Learning Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Delta X Automotive,Intern,Internship-Spring,5.0,,,,,,,True,False,False,False
2022,PES,Logmein,"Associate Software Engineering
 Intern",Internship-Spring,40.0,3.0,21.0,21.0,21.0,,,True,True,True,False
2022,PES,Iqvia,Intern,Internship-Spring,14.2,22.0,22.0,,,,7.23,True,True,True,True
2022,PES,Inmobi,Intern,Internship-Spring,45.0,,,,,,,True,False,False,False
2022,PES,Texas Instruments,Digital,Internship-Spring,45.0,,,,,,,True,False,False,False
2022,PES,Embedded Software,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Nxp Semiconductors,Cyber Security Intern,Internship-Spring,32.5,,,,,,,True,False,False,False
2022,PES,Software Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Ge Healthcare,Intern,Internship-Spring,,4.0,21.0,21.0,,,,True,True,True,False
2022,PES,Confluent Technologies,"Technical Program Manager, Intern",Internship-Spring,1.0,,,,,,,True,False,False,False
2022,PES,Airender,3D Graphics Software Interns,Internship-Spring,0.0,,,,,,,True,False,False,False
2022,PES,Full Stack Developer Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,3D Graphics Data Science Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Soroco,Software Engineer,Internship-Spring,50.0,,,30.0,22.0,,,True,False,False,False
2022,PES,Delightful Gourmet,Intern,Internship-Spring,30.0,,22.0,22.0,22.0,,,True,True,False,False
2022,PES,Drongo AI,Intern,Internship-Spring,10.0,2.0,2.0,,,,,True,True,True,False
2022,PES,Better Half,Intern,Internship-Spring,50.0,,,31.0,,,,True,False,False,False
2022,PES,Datazymes.Com,Data Analyst,Internship-Spring,15.0,,,22.0,,,,True,False,False,False
2022,PES,Victoria'S Secret,Intern,Internship-Spring,30.0,5.0,5.0,22.0,,,,True,True,True,False
2022,PES,Telio.Vn,Software Engineer Intern,Internship-Spring,20.0,,,22.0,,9.0,10.0,True,False,False,True
2022,PES,Verana Networks,Software Engineer Intern,Internship-Spring,25.0,,,,,,,True,False,False,False
2022,PES,Progress,Software Engineer Intern,Internship-Spring,30.0,,,,,,8.5,True,False,False,True
2022,PES,Automation Anywhere,Intern,Internship-Spring,35.0,,22.0,,,,,True,True,False,False
2022,PES,Easyecom,Management Trainee,Internship-Spring,15.0,,,,,,,True,False,False,False
2022,PES,Software Developer,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Keysight Technologies,Intern,Internship-Spring,25.0,,,,,,4.8,True,False,False,True
2022,PES,Infinera,VLSI/FPGA Intern,Internship-Spring,35.0,,,,,,,True,False,False,False
2022,PES,Hiver,Frontend Engineer Intern,Internship-Spring,21.5,,,,,,,True,False,False,False
2022,PES,Akamai,Software Engineer,Internship-Spring,35.0,,,,,12.31,,True,False,False,False
2022,PES,Knudge.Me,Software Engineer Frontend,Internship-Spring,25.0,,,,,,,True,False,False,False
2022,PES,Software Engineer Backend,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Nichesoft,Software Engineer,Internship-Spring,20.0,,,,,,,True,False,False,False
2022,PES,Moveinsync,Software Engineer,Internship-Spring,30.0,,,,,,10.0,True,False,False,True
2022,PES,Liferay,Intern,Internship-Spring,20.0,,,,,,6.0,True,False,False,True
2022,PES,Kepsla,Frontend Intern,Internship-Spring,20.0,,,2227.0,28.0,,7.0,True,False,False,True
2022,PES,Tecplix Technologies,Intern,Internship-Spring,20.0,,,,,,,True,False,False,False
2022,PES,Celstream,Software Engineer,Internship-Spring,30.0,,,,,,9.0,True,False,False,True
2022,PES,Allgovision,Intern,Internship-Spring,20.0,,,,,,,True,False,False,False
2022,PES,Nova,Product Support Intern,Internship-Spring,20.0,,,,,,,True,False,False,False
2022,PES,Orange Health,Software Intern,Internship-Spring,30.0,,,,,8.4,9.4,True,False,False,True
2022,PES,Analyttica Datalab Inc,Devops Intern,Internship-Spring,25.0,,,,,,,True,False,False,False
2022,PES,Ui Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Software Test Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Java Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Python Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Internship Stipend,Base,Dream,,,,,,,,False,False,False,False
2022,PES,Apple India,Software Engineer,Dream,,16.0,65.0,,5.0,,,False,True,True,False
2022,PES,Eightfold.AI,Business Analyst,Dream,,25.0,60.5,,,,,False,True,True,False
2022,PES,Internship Stipend,Base,Tier-1,,,,,,,,False,False,False,False
2022,PES,HPE (Through Project),,Tier-1,,,11.5,6.0,,,,False,True,False,False
2022,PES,Morgan Stanley(Through Summer Internship),,Tier-1,,13.0,25.0,16.0,,,,False,True,True,False
2022,PES,Groww(Through Summer Internship),,Tier-1,,,20.0,2.0,,,,False,True,False,False
2022,PES,Akamai(Through Summer Internship),,Tier-1,,11.0,18.0,13.0,,,,False,True,True,False
2022,PES,Cisco(Ppo),,Tier-1,,13.0,18.2,3.0,,,,False,True,True,False
2022,PES,Dell(Through Summer Internship),,Tier-1,,,,1.0,,,,False,False,False,False
2022,PES,Goldman Sachs(Through Summer Internship),,Tier-1,,16.0,23.0,5.0,,,,False,True,True,False
2022,PES,Intuit(Through Summer Internship),,Tier-1,,15.0,32.0,3.0,,,,False,True,True,False
2022,PES,Jp Morgan(Through Summer Internship),,Tier-1,,,,9.0,,,,False,False,False,False
2022,PES,Pronisi(Through Summer Internship),,Tier-1,,,,7.0,,,,False,False,False,False
2022,PES,Samsung(Through Summer Internship),,Tier-1,,,,5.0,,,,False,False,False,False
2022,PES,SAP Labs(Through Summer Internship),,Tier-1,,,,2.0,,,,False,False,False,False
2022,PES,Visa(Through Summer Internship),,Tier-1,,15.0,23.0,6.0,,,,False,True,True,False
