batch_year,college,source_file,company_name,job_role,placement_tier,internship_stipend,base_salary,total_ctc,num_offers_fte,num_offers_intern,num_offers_both,test_date,interview_date,ppt_date,additional_info,stocks_esops,joining_bonus,cgpa_cutoff,visit_date,oa_date,placement_type,num_offers_total,allows_ece,allows_mca,allows_mtech,has_internship,has_stocks,has_joining_bonus,salary_category,role_type,academic_year
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Infosys,Specialist Programmer,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Bluebird,Software Engineer,Tier-2,25000.0,,,,,,,,,,,,7.0,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Bain,Analyst,Tier-2,40000.0,,,,,,,,,,,,6.0,,,,,,,,True,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Deloitte,Analyst - Analytics & Technology,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Deloitte India,ET&P Oracle - Analyst,Tier-2,25000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Eurofins,Associate Software Engineer,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Tejas Networks,NMS,Tier-2,30000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Toshiba Software,Associate Software Engineer,Tier-2,45000.0,,,,,,,,,,,,7.0,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Kpmg,Digital Solns. - Digital Next,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,Hardware/Embedded,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Dover,Software Engineer,Tier-2,25000.0,,,,,,,,,,,,8.0,,,,,,,,True,False,False,,SDE-Core,2021-2025
