batch_year,college,source_file,company_name,job_role,placement_tier,internship_stipend,base_salary,total_ctc,num_offers_fte,num_offers_intern,num_offers_both,test_date,interview_date,ppt_date,additional_info,stocks_esops,joining_bonus,cgpa_cutoff,visit_date,oa_date,placement_type,num_offers_total,allows_ece,allows_mca,allows_mtech,has_internship,has_stocks,has_joining_bonus,salary_category,role_type,academic_year
2022,PES,Companies_list - Tier-3.csv,Quest Global,Trainee Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-ML/AI,2018-2022
2022,PES,Companies_list - Tier-3.csv,Tcs (Ninja Hiring),nan,Tier-3,,,,,,,nan,nan,nan,OTI - One time incentive,,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,The Math Company,nan,Tier-3,,,,,,7.0,"15-08-21
15-10-21","17-08-21
18-10-21",14-08-21,"4.5 1st year
ctc over 5 years is 41 with 12L esops(based on performance)
25% increment every year",,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,Mu Sigma,nan,Tier-3,,,,,,,28-08-21,nan,nan,"3 base with 50 bonus 1st year
ctc over 4 years is 30
bonus not fixed, may increase based on performance",,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,Cognizant,GenC Elevate,Tier-3,,,,103.0,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,Infosys,Systems Engineer,Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-Core,2018-2022
2022,PES,Companies_list - Tier-3.csv,Robert Bosch,nan,Tier-3,,,,53.0,,,16-09-21,17-09-21,15-09-21,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,"L&T Technology
Services Limited",nan,Tier-3,,,,,,,"20-09-21
21-09-21
22-09-21
23-09-21
24-09-21",nan,nan,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,Ey,Tech Consulting - Cyber,Tier-3,,,,,,,21-10-21,23-10-21,22-10-21,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
2022,PES,Companies_list - Tier-3.csv,Eox Vantage,Jr Developer,Tier-3,,,,,,2.0,12-10-21,13-10-21,13-10-21,nan,,,,,,,,,,,False,False,False,,SDE-Core,2018-2022
2022,PES,Companies_list - Tier-3.csv,Deevia Software,Software Engineer,Tier-3,,,,1.0,2.0,,13-11-21,nan,nan,nan,,,,,,,,,,,False,False,False,,SDE-Core,2018-2022
2022,PES,Companies_list - Tier-3.csv,Hcl,"GET - Identity and 
Access Management",Tier-3,,,,,,,nan,nan,nan,nan,,,,,,,,,,,False,False,False,,Other,2018-2022
